Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,01/12/2024,12:30,Nurnberg,Dusseldorf,2,2,D,,,,,,8,11,2,5,0,0
2024/25,01/12/2024,12:30,Ulm,Greuther Furth,1,1,D,,,,,,11,15,5,4,0,0
2024/25,06/12/2024,17:30,Elversberg,Nurnberg,2,1,H,,,,,,13,14,2,3,0,0
2024/25,06/12/2024,17:30,Paderborn,Schalke 04,2,4,A,,,,,,10,11,1,3,0,0
2024/25,07/12/2024,12:00,Greuther Furth,Hertha,2,1,H,,,,,,8,11,4,3,1,0
2024/25,07/12/2024,12:00,Hannover,Ulm,3,2,H,,,,,,9,10,3,2,0,0
2024/25,07/12/2024,12:00,Kaiserslautern,Karlsruhe,3,1,H,,,,,,17,19,5,1,0,0
2024/25,07/12/2024,19:30,Preußen Münster,Magdeburg,1,2,A,,,,,,14,13,3,3,0,0
2024/25,08/12/2024,12:30,Dusseldorf,Braunschweig,5,0,H,,,,,,8,10,1,4,0,0
2024/25,08/12/2024,12:30,Hamburg,Darmstadt,2,2,D,,,,,,11,8,2,4,0,0
2024/25,08/12/2024,12:30,Regensburg,FC Koln,0,1,A,,,,,,10,17,1,3,0,0
2024/25,13/12/2024,17:30,Hertha,Preußen Münster,1,2,A,,,,,,16,14,2,4,0,0
2024/25,13/12/2024,17:30,Karlsruhe,Regensburg,4,2,H,,,,,,12,17,4,2,0,0
2024/25,14/12/2024,19:30,Darmstadt,Kaiserslautern,5,1,H,,,,,,10,12,1,2,0,0
2024/25,14/12/2024,12:00,Magdeburg,Paderborn,1,1,D,,,,,,12,11,5,1,0,0
2024/25,14/12/2024,12:00,Schalke 04,Dusseldorf,1,1,D,,,,,,7,11,1,4,0,0
2024/25,14/12/2024,12:00,Ulm,Hamburg,1,1,D,,,,,,14,17,3,6,0,1
2024/25,15/12/2024,12:30,Braunschweig,Elversberg,0,3,A,,,,,,16,10,4,3,0,0
2024/25,15/12/2024,12:30,FC Koln,Nurnberg,3,1,H,,,,,,13,11,4,2,0,0
2024/25,15/12/2024,12:30,Greuther Furth,Hannover,1,0,H,,,,,,13,14,2,1,0,0
2024/25,20/12/2024,17:30,Dusseldorf,Magdeburg,2,5,A,,,,,,8,8,3,3,1,0
2024/25,20/12/2024,17:30,Elversberg,Schalke 04,1,4,A,,,,,,10,11,3,1,0,0
2024/25,21/12/2024,12:00,Hamburg,Greuther Furth,5,0,H,,,,,,16,7,2,1,0,0
